sample_id,rainfall_mm_per_hour,elevation_meters,soil_saturation,impassable_within_two_hours,synthetic
syn-00168,26.57557,14.85093,0.7647689,0,True
syn-00169,33.08440,13.34179,0.3077307,0,True
syn-00170,35.66037,23.85029,0.7449710,0,True
syn-00171,52.06572,13.47255,0.8624732,1,True
syn-00172,34.38459,16.93525,0.9348904,1,True
syn-00173,32.47108,22.43298,0.6523115,0,True
syn-00174,37.58493,0.00000,0.7544196,1,True
syn-00175,34.42886,1.28014,0.8100060,1,True
syn-00176,58.19006,12.66647,0.5922497,1,True
syn-00177,61.22270,16.42676,0.6694618,0,True
syn-00178,47.61236,0.00000,0.7824652,1,True
syn-00179,32.28197,4.86721,0.9456998,1,True
syn-00180,32.78641,16.42487,0.4954877,0,True
syn-00181,42.67003,12.46790,0.2011369,0,True
syn-00182,63.83897,11.08013,0.4025052,1,True
syn-00183,51.05288,21.74858,0.5506643,0,True
syn-00184,17.56700,16.33908,0.3697560,0,True
syn-00185,24.18108,8.74405,0.4235986,0,True
syn-00186,37.16274,16.87530,0.1292700,0,True
syn-00187,35.56980,0.00000,0.6965910,1,True
syn-00188,18.48387,19.41154,0.5346972,0,True
syn-00189,83.23589,14.93686,0.7247272,1,True
syn-00190,25.54347,10.77870,0.6323513,1,True
syn-00191,20.60410,22.95312,0.7985910,0,True
syn-00192,101.11030,6.51723,0.7512010,1,True
syn-00193,15.91025,16.20547,0.6228046,0,True
syn-00194,63.89428,5.28702,0.1197831,0,True
syn-00195,58.27662,4.51959,0.5503156,1,True
syn-00196,36.97555,13.96332,0.5280705,0,True
syn-00197,42.56833,0.00000,0.8348728,1,True
syn-00198,26.91093,10.42152,0.8962582,1,True
syn-00199,10.91940,1.01033,0.5411039,0,True
syn-00200,28.05708,6.49543,0.7167289,0,True
syn-00201,61.90319,15.15774,0.7230929,1,True
syn-00202,80.59960,18.93393,0.2304051,0,True
syn-00203,21.43891,13.97263,0.3260275,0,True
syn-00204,96.75867,17.12865,0.4561929,1,True
syn-00205,17.85691,10.74413,0.1854582,0,True
syn-00206,36.46978,5.91432,0.3447399,1,True
syn-00207,35.85557,19.68663,0.3424625,0,True
syn-00208,9.90993,0.00000,0.3845082,0,True
syn-00209,60.31350,1.67279,0.6380308,1,True
syn-00210,52.76355,28.42520,0.7939968,0,True
syn-00211,71.45249,12.44447,0.2699688,0,True
syn-00212,16.37812,13.27274,0.2597962,0,True
syn-00213,14.87090,7.03963,0.6517200,0,True
syn-00214,32.29593,14.44661,0.5182225,0,True
syn-00215,100.98067,16.59530,0.7315714,1,True
syn-00216,54.00465,15.26013,0.6545812,1,True
syn-00217,44.34829,3.28136,0.9913475,1,True
syn-00218,62.01048,10.73344,0.8974400,1,True
syn-00219,43.53386,3.26497,0.5599751,0,True
syn-00220,28.66025,6.92369,0.4405812,0,True
syn-00221,65.87684,16.37759,0.2878950,0,True
syn-00222,69.13927,1.25005,0.4782756,1,True
syn-00223,40.55833,0.00000,0.6978709,1,True
syn-00224,28.67074,14.03585,0.6406485,0,True
syn-00225,10.38217,11.13306,0.7128339,0,True
syn-00226,29.83167,16.99196,0.1916576,0,True
syn-00227,25.39911,6.26879,0.4666197,0,True
syn-00228,20.53203,6.55376,0.6300110,1,True
syn-00229,33.91123,7.20092,0.3618706,1,True
syn-00230,10.34457,16.82797,0.6508859,1,True
syn-00231,58.07929,22.74634,0.4468310,0,True
syn-00232,12.01976,23.35888,0.3840224,0,True
syn-00233,32.25251,11.50725,0.6333829,1,True
syn-00234,57.55194,19.52101,0.6515384,1,True
syn-00235,21.17555,29.02480,0.1131821,0,True
syn-00236,25.08556,19.12573,0.2233098,0,True
syn-00237,54.27211,13.66855,0.6010447,0,True
syn-00238,13.72381,17.43727,0.1327073,0,True
syn-00239,31.88143,9.00998,0.3597789,1,True
syn-00240,12.31662,15.49428,0.6957561,0,True
syn-00241,54.84739,2.54907,0.2146619,0,True
syn-00242,51.28476,19.84921,0.9162917,1,True
syn-00243,47.37042,22.30142,0.7956942,0,True
syn-00244,31.64886,7.39755,0.5695910,1,True
syn-00245,88.31416,5.26350,0.4788856,1,True
syn-00246,29.12213,21.87848,0.8832049,1,True
syn-00247,11.69285,13.43553,0.7903307,0,True
syn-00248,19.62456,28.21583,0.6046830,0,True
syn-00249,66.63276,9.76427,0.3159431,0,True
syn-00250,60.95826,3.53763,0.7706454,1,True
syn-00251,20.94144,14.69885,0.4511446,0,True
syn-00252,43.02433,0.60510,0.4225785,1,True
syn-00253,64.34092,15.60888,0.2195759,0,True
syn-00254,79.29723,8.73572,0.9266439,1,True
syn-00255,61.10390,14.13784,0.3035625,0,True
syn-00256,21.93576,8.64192,0.5207086,0,True
syn-00257,34.41537,17.26955,0.8196716,1,True
syn-00258,55.58462,7.04911,0.6631898,1,True
syn-00259,37.61048,17.60715,0.3929970,0,True
syn-00260,10.97071,12.34092,0.5456702,0,True
syn-00261,1.86362,6.58955,0.3224885,0,True
syn-00262,54.42862,17.09221,0.7224227,1,True
syn-00263,38.10494,27.61636,0.4764731,0,True
syn-00264,10.97680,21.36809,0.2954014,0,True
syn-00265,73.98439,0.77029,0.6998484,1,True
syn-00266,11.36348,26.41043,0.5578918,0,True
syn-00267,32.20399,35.12528,0.8908722,1,True
syn-00268,2.76081,0.00000,0.6434299,0,True
syn-00269,26.67112,0.00000,0.5104819,0,True
syn-00270,40.57827,16.70929,0.7573341,0,True
syn-00271,39.02084,2.40283,0.6180565,0,True
syn-00272,38.82883,22.41150,0.3246396,0,True
syn-00273,34.50315,7.60107,0.7434846,0,True
syn-00274,73.27230,11.71428,0.4721894,1,True
syn-00275,61.61296,3.56517,0.7857834,1,True
syn-00276,55.05476,16.57620,0.9244791,1,True
syn-00277,2.72640,0.00000,0.5461202,0,True
syn-00278,25.84600,9.48915,0.3484128,0,True
syn-00279,80.56036,14.56989,0.4589544,0,True
syn-00280,26.68837,3.89539,0.6608492,1,True
syn-00281,10.49451,9.85512,0.3352234,0,True
syn-00282,67.96225,25.25630,0.5476299,0,True
syn-00283,82.02267,5.52707,0.8208555,1,True
syn-00284,14.09756,5.55716,0.6100868,1,True
syn-00285,41.68854,17.66633,0.8314459,1,True
syn-00286,69.56391,9.63795,0.7639393,0,True
syn-00287,79.69135,10.86979,0.6170933,1,True
syn-00288,62.72383,5.96011,0.2254468,0,True
syn-00289,63.58146,17.30417,0.6336271,1,True
syn-00290,67.31146,19.21356,0.4340836,1,True
syn-00291,74.11495,0.00000,0.4601499,1,True
syn-00292,14.97161,16.36981,0.2370545,0,True
syn-00293,30.92208,20.05006,0.6962150,0,True
syn-00294,20.60346,18.83660,0.3523451,0,True
syn-00295,45.94260,13.35280,0.4874993,0,True
syn-00296,9.99221,4.93798,0.5101705,0,True
syn-00297,125.83164,6.52002,0.8031730,1,True
syn-00298,9.69308,15.66689,0.7324870,0,True
syn-00299,42.38721,0.00000,0.5409312,0,True
syn-00300,16.98108,20.76259,0.7551727,0,True
syn-00301,26.96909,1.86512,0.5818545,1,True
syn-00302,54.10998,2.37497,0.5355347,1,True
syn-00303,20.20885,14.11151,0.2965160,0,True
syn-00304,105.78006,18.87374,0.6152628,1,True
syn-00305,27.06527,23.32358,0.4657035,0,True
syn-00306,5.71996,18.23950,0.7683845,0,True
syn-00307,92.54013,2.53722,0.6103799,1,True
syn-00308,20.74941,13.54501,0.5071563,0,True
syn-00309,49.08110,26.67415,0.4050297,0,True
syn-00310,11.01648,4.97871,0.6378372,0,True
syn-00311,53.86730,15.48226,0.6601911,0,True
syn-00312,37.40080,14.75932,0.6402536,1,True
syn-00313,18.21871,21.77728,0.8004398,0,True
syn-00314,61.75832,27.94293,0.3220954,0,True
syn-00315,39.89212,5.05447,0.4030308,0,True
syn-00316,29.54000,21.69256,0.2317212,0,True
syn-00317,57.09559,19.21535,0.7942607,0,True
syn-00318,37.32006,11.50175,0.0598398,0,True
syn-00319,93.64670,1.20995,0.5235731,1,True
syn-00320,34.36860,5.05781,0.6465602,1,True
syn-00321,51.93412,6.78909,0.4631516,0,True
syn-00322,31.11132,15.80109,0.2003403,0,True
syn-00323,26.86094,0.65091,0.9144795,1,True
syn-00324,19.40034,17.77430,0.2930828,0,True
syn-00325,108.74882,22.15141,0.8569472,1,True
syn-00326,41.02265,18.26429,0.4704435,0,True
syn-00327,17.23525,21.05592,0.3853749,0,True
syn-00328,4.81072,2.57218,0.7633405,1,True
syn-00329,27.84351,7.84874,0.9969189,1,True
syn-00330,43.17479,8.96271,0.7720873,1,True
syn-00331,23.20752,14.98137,0.6473714,0,True
syn-00332,40.19984,16.10700,0.7811591,1,True
syn-00333,11.11681,0.00000,0.5629486,0,True
syn-00334,68.11974,3.67814,0.5697848,1,True
syn-00335,51.05180,15.80059,0.7498841,0,True
syn-00336,48.22148,4.69154,0.4058026,1,True
syn-00337,43.27330,12.27632,0.5347089,1,True
syn-00338,26.95461,36.54317,0.5393311,0,True
syn-00339,45.41077,6.18787,0.4576611,1,True
syn-00340,15.50318,10.12717,0.6820465,0,True
syn-00341,77.67299,21.15388,0.7757668,1,True
syn-00342,44.32495,6.89669,0.9682063,1,True
syn-00343,22.66596,1.38766,0.9347559,1,True
syn-00344,57.34704,1.77991,0.6781998,1,True
syn-00345,45.21191,10.09367,0.8652771,1,True
syn-00346,29.45721,12.81570,0.3661580,0,True
syn-00347,80.88329,0.00000,0.5080354,1,True
syn-00348,19.54111,40.48936,0.4390679,0,True
syn-00349,34.71525,13.71943,0.2852745,0,True
syn-00350,14.67405,16.30635,0.6604552,0,True
syn-00351,25.02190,6.39921,0.2251631,0,True
syn-00352,63.03349,0.00000,0.7227207,0,True
syn-00353,50.61624,6.20682,0.4054033,1,True
syn-00354,133.91809,23.25681,0.4573340,1,True
syn-00355,78.38837,6.08700,0.5032501,0,True
syn-00356,49.06302,14.79998,0.1812877,1,True
syn-00357,33.60505,9.24974,0.8743935,0,True
syn-00358,23.02208,9.93238,0.6058679,0,True
syn-00359,46.89123,13.94032,0.7680469,0,True
syn-00360,19.87609,6.69900,0.4887328,0,True
syn-00361,32.53542,0.00000,0.3549643,0,True
syn-00362,33.25486,11.24164,0.3822307,1,True
syn-00363,112.38595,13.37515,0.7146277,1,True
syn-00364,23.31106,23.07001,0.5152859,0,True
syn-00365,22.43362,9.32429,0.7377200,1,True
syn-00366,89.65394,3.42533,0.6960238,1,True
syn-00367,33.30177,12.24661,0.3030303,0,True
syn-00368,25.48108,23.55883,0.5972657,0,True
syn-00369,40.59040,18.69009,0.4976155,1,True
syn-00370,9.32514,18.43705,0.6096835,0,True
syn-00371,46.76611,0.33436,0.2812233,1,True
syn-00372,96.14103,18.20893,0.4893054,0,True
syn-00373,7.06520,20.45717,0.6487591,0,True
syn-00374,28.54469,18.10655,0.5966508,0,True
syn-00375,48.29300,0.02019,0.7214791,1,True
syn-00376,37.88407,13.46701,0.5027241,0,True
syn-00377,80.26977,7.52468,0.7512726,1,True
syn-00378,7.32954,21.43207,0.7350172,0,True
syn-00379,39.75585,4.46629,0.3960955,0,True
syn-00380,21.65857,2.73334,0.1174375,1,True
syn-00381,22.91108,16.49681,0.7063442,0,True
syn-00382,25.50329,1.21548,0.6893966,0,True
syn-00383,3.71155,0.00000,0.4182278,0,True
syn-00384,119.99002,22.47869,0.8136772,1,True
syn-00385,26.65941,17.35619,0.3297031,0,True
syn-00386,23.57493,6.15767,0.5686979,1,True
syn-00387,44.08530,9.30513,0.3718412,0,True
syn-00388,35.23306,16.76078,0.7709688,0,True
syn-00389,14.57077,9.11076,0.9077944,0,True
syn-00390,8.41373,8.87720,0.4804526,0,True
syn-00391,17.50755,0.00000,0.6603224,0,True
syn-00392,34.71170,29.96808,0.7491426,1,True
syn-00393,32.15155,10.93918,0.3239927,0,True
syn-00394,20.27675,10.79145,0.9419058,1,True
syn-00395,78.52831,7.44646,0.4643332,1,True
syn-00396,4.62708,8.24064,0.2154928,0,True
syn-00397,1.72037,31.87803,0.5111523,0,True
syn-00398,20.35437,20.46935,0.7679422,0,True
syn-00399,131.33960,9.40413,0.2958541,1,True
syn-00400,11.91783,32.97341,0.6120090,1,True
syn-00401,30.35245,8.88476,0.2753497,0,True
syn-00402,28.87285,22.88166,0.2589446,0,True
syn-00403,17.73334,2.83392,0.8186826,1,True
syn-00404,21.48180,17.47522,0.8289374,0,True
syn-00405,60.68145,4.26778,0.8320494,1,True
syn-00406,13.00715,20.64312,0.3576403,0,True
syn-00407,11.99029,0.01121,0.1392411,0,True
syn-00408,7.20739,17.33369,0.5040767,0,True
syn-00409,41.78412,7.60376,0.8149691,1,True
syn-00410,20.50384,10.02150,0.7700179,0,True
syn-00411,60.69976,20.05470,0.6964524,1,True
syn-00412,25.07581,33.99515,0.8348153,0,True
syn-00413,38.28822,1.00567,0.5824103,0,True
syn-00414,12.55825,2.78983,0.2183120,0,True
syn-00415,24.49697,14.21016,0.7076633,1,True
syn-00416,58.24685,14.42824,0.4558094,0,True
syn-00417,109.15450,8.58506,0.6404402,1,True
syn-00418,21.98385,23.27412,0.7370055,0,True
syn-00419,31.40071,16.58914,0.8662819,0,True
syn-00420,24.39393,31.05500,0.6857335,0,True
syn-00421,14.40531,0.77532,0.7690182,0,True
syn-00422,37.75462,18.84155,0.9300866,1,True
syn-00423,21.34610,14.88997,0.2317160,0,True
syn-00424,35.33360,15.86933,0.1812266,0,True
syn-00425,31.15540,30.21177,0.8928059,0,True
syn-00426,102.79612,11.54726,0.7098327,1,True
syn-00427,117.67087,21.14581,0.6607980,1,True
syn-00428,91.46494,14.48301,0.6645895,1,True
syn-00429,75.41334,1.66859,0.4063446,1,True
syn-00430,44.65039,27.72778,0.5794540,1,True
syn-00431,44.31984,10.77688,0.6168436,0,True
syn-00432,48.05255,19.34902,0.7049865,1,True
syn-00433,43.18118,10.07312,0.6622083,1,True
syn-00434,16.26011,17.04257,0.4049690,0,True
syn-00435,59.87186,14.86598,0.6630408,1,True
syn-00436,26.31103,22.40194,0.5953554,0,True
syn-00437,13.82058,21.76802,0.4023798,0,True
syn-00438,47.20546,7.38625,0.2924326,0,True
syn-00439,16.70570,5.15131,0.6522878,1,True
syn-00440,35.86332,20.74514,0.6912205,0,True
syn-00441,61.54449,3.63134,0.4004611,0,True
syn-00442,30.45317,1.42152,0.9118470,1,True
syn-00443,57.23075,0.00000,0.6785778,1,True
syn-00444,30.29564,14.43760,0.8877851,1,True
syn-00445,54.77490,13.68636,0.7654431,0,True
syn-00446,62.95253,28.10718,0.9286523,1,True
syn-00447,83.74247,29.30176,0.5997084,0,True
syn-00448,23.42719,7.07140,0.6508365,1,True
syn-00449,74.78002,9.93753,0.4882936,1,True
syn-00450,48.93293,3.09701,0.3619748,0,True
syn-00451,58.70860,17.74832,0.6355867,0,True
syn-00452,21.71366,10.56559,0.5650627,1,True
syn-00453,14.69343,8.24520,0.2542035,0,True
syn-00454,25.89882,24.10965,0.3232934,0,True
syn-00455,35.16854,18.35132,0.3608995,0,True
syn-00456,15.10619,17.44777,0.5447036,0,True
syn-00457,53.98591,7.38577,0.7684022,0,True
syn-00458,11.43935,18.65387,0.6835627,0,True
syn-00459,15.10508,8.19914,0.6095752,0,True
syn-00460,52.24784,0.00000,0.6357329,1,True
syn-00461,115.51316,4.39809,0.5378205,1,True
syn-00462,105.64006,10.98162,0.7471892,1,True
syn-00463,22.98893,19.21714,0.5404834,0,True
syn-00464,26.96862,23.54100,0.4453900,0,True
syn-00465,22.24717,16.57971,0.1917109,0,True
syn-00466,23.17042,26.38468,0.8411993,0,True
syn-00467,52.60955,12.10403,0.3919540,0,True
syn-00468,7.29162,1.89547,0.3378173,0,True
syn-00469,67.52958,12.26363,0.6509639,1,True
syn-00470,45.16360,12.52078,0.9603819,0,True
syn-00471,3.74822,18.63485,0.9379501,0,True
syn-00472,5.74056,7.62405,0.7244788,0,True
syn-00473,94.72279,15.53602,0.4674252,1,True
syn-00474,6.29141,2.55111,0.3413384,0,True
syn-00475,70.26079,18.36334,0.3539868,0,True
syn-00476,69.74036,0.00000,0.4903903,0,True
syn-00477,7.37383,16.75657,0.7507300,1,True
syn-00478,35.74707,0.13401,0.6819686,0,True
syn-00479,25.96043,25.58688,0.5210613,0,True
syn-00480,39.71893,10.96083,0.6940396,0,True
syn-00481,46.43774,11.09376,0.2638657,0,True
syn-00482,8.71156,22.07193,0.9493391,0,True
syn-00483,11.00677,19.41879,0.6905397,0,True
syn-00484,53.41746,24.24086,0.8286160,0,True
syn-00485,91.95673,22.03400,0.8143235,1,True
syn-00486,52.67562,9.82893,0.4976340,0,True
syn-00487,20.84338,28.42525,0.8216013,0,True
syn-00488,9.88697,13.14978,0.7994821,0,True
syn-00489,14.02386,5.43750,0.6914765,0,True
syn-00490,32.83167,17.09447,0.8420064,0,True
syn-00491,20.00745,22.50121,0.8885473,0,True
syn-00492,78.91757,18.79857,0.5262716,1,True
syn-00493,26.38381,0.00000,0.1732240,0,True
syn-00494,19.86108,22.14108,0.4140627,0,True
syn-00495,33.66344,2.53330,0.4991822,0,True
syn-00496,53.02258,20.27567,0.8957355,0,True
syn-00497,36.37439,12.49420,0.7526287,0,True
syn-00498,5.14478,8.99423,0.8515724,0,True
syn-00499,39.99356,2.93976,0.4530434,0,True
syn-00500,29.51244,31.70045,0.7308510,0,True
syn-00501,30.46916,9.11951,0.1893753,0,True
syn-00502,45.34870,3.26569,0.8181326,1,True
syn-00503,36.17009,20.78160,0.6338450,0,True
syn-00504,13.63906,8.49174,0.4098456,0,True
syn-00505,78.54543,9.09011,0.9823740,1,True
syn-00506,43.55188,0.00000,0.7602589,1,True
syn-00507,45.88707,25.61064,0.5620967,0,True
syn-00508,78.84892,9.80064,0.4385572,1,True
syn-00509,11.10992,25.76252,0.9455790,1,True
syn-00510,45.17547,9.28544,0.5899437,0,True
syn-00511,18.99484,8.00452,0.7831042,1,True
syn-00512,36.45390,0.00000,0.7075980,0,True
syn-00513,77.87999,11.69576,0.7023380,1,True
syn-00514,55.59753,9.33345,0.7886184,0,True
syn-00515,35.88552,32.72260,0.6646814,0,True
syn-00516,26.39041,27.44961,0.6962669,0,True
syn-00517,48.07685,8.60929,0.9037274,1,True
syn-00518,30.12593,34.14580,0.2611448,0,True
syn-00519,77.76049,20.64900,0.9257511,1,True
syn-00520,21.21448,3.84263,0.6339409,1,True
syn-00521,12.59574,12.88994,0.7219935,0,True
syn-00522,69.22240,25.38709,0.7711866,1,True
syn-00523,2.68085,7.19815,0.8740711,1,True
syn-00524,80.32273,11.30757,0.2213736,1,True
syn-00525,62.97375,13.71077,0.4437852,0,True
syn-00526,66.55228,20.05702,0.2804918,0,True
syn-00527,9.34166,16.95753,0.2364231,0,True
syn-00528,33.83792,20.98292,0.7608455,1,True
syn-00529,96.02986,5.95726,0.7575183,1,True
syn-00530,71.56979,13.82330,0.6969623,1,True
syn-00531,102.94868,0.00000,0.2552087,1,True
syn-00532,66.42053,8.30864,0.5467943,1,True
syn-00533,37.88931,10.74854,0.7366713,1,True
